search_category,time,tweet_text
rain,2019-06-21 04:22:30,"@MelBlanc10 @softly_sighing2 Ming Tay, Chinese place right across the bridge, killer food.  Now what are these ""str… https://t.co/epEriBZpek"
sun,2019-06-21 04:22:32,RT @almostjingo: Let’s be really clear on this: @RepJerryNadler only see’s women via what men they’ve dated. Do any of the Democrats see ho…
rain,2019-06-21 04:22:34,RT @xxcubs: see you in the showers 😉 https://t.co/OD4isCbiyx
rain,2019-06-21 04:22:36,@algorithmoflife Flirting??? I was making small talk! I had already talked about the weather to previous 3 employee… https://t.co/8qBmrB21sA
sun,2019-06-21 04:22:38,i see every red flag loud and clear
rain,2019-06-21 04:22:40,RT @rachsyme: ok i have officially decided that a weeklong run of seasonal depression weather in the summer is twice as bad as any snowstor…
rain,2019-06-21 04:22:42,ans like i worked so fucking hard this semester i wouLD LIKE SOME SUMMER WEATHER
sun,2019-06-21 04:22:44,RT @mariaajudice: @SFUrbanFilmFest @shegotplans A Raisin in the Sun #housing
sun,2019-06-21 04:22:46,☑︎ Materials for #JSM2019 Teaching Data Science workshop 
rain,2019-06-21 04:22:48,RT @AmyMek: Warning Italy! 
rain,2019-06-21 04:22:50,RT @robertdunlap947: House Judiciary Releases Hope Hicks Transcripts - White House Counsel Only Let Hicks Answer Questions About the Weathe…
sun,2019-06-21 04:22:52,"@sassycrass You can have the secret satisfaction of waiting until she's 40 and going, oh look my arm is as wrinkled… https://t.co/S2zvMwPgyZ"
sun,2019-06-21 04:22:54,"From the rising of the sun to the place where it sets, the name of the Lord is to be pra…"
rain,2019-06-21 04:22:56,"RT @OneTrueMistress: It was such a hot day yesterday, so I found some rain water on the roof and splashed my feet around a little bit"
sun,2019-06-21 04:22:58,RT @vulcansketch: classic always sunny screencap redraw for whenever i get into something new lmao #goodomens https://t.co/O3R2w0cJfW
sun,2019-06-21 04:23:00,RT @thefalcongrind: Congrats @_pabloruizz_ 🔥💯💪🏻 https://t.co/SwlMsA4UoN @FHH_FalconFury
sun,2019-06-21 04:23:02,RT @SUNSHlNELlNE: i’m still into sunshine line 
sun,2019-06-21 04:23:04,RT @girlgroupzone: Red Velvet to perform 'Zimzalabim' and 'Sunny Side Up!' for their first comeback stage on Music Bank today https://t.co/…
sun,2019-06-21 04:23:06,@bravorealbunny @sunny @Bethenny @TheView She didn't make it up.
rain,2019-06-21 04:23:08,@Alt_Faxx He’s gonna eat in Portland. So much better than Aminu
rain,2019-06-21 04:23:10,RT @DomSherwood1: I was being the nice guy and you’ve stolen my thunder! https://t.co/1nloEfloAE
sun,2019-06-21 04:23:12,RT @ORANGEinal: this is nap and booty rub weather.
sun,2019-06-21 04:23:14,RT @yixingspixie: EXplOration in Hong Kong confirmed 🎉🎉🎉
sun,2019-06-21 04:23:16,@TacoFangs Northern Illinois! I just was sunny and 75 😭
sun,2019-06-21 04:23:18,"“When the sun shines I like it better,"
sun,2019-06-21 04:23:20,RT @Sav_Taylor_: All y’all do is complain about the weather.. do sumn then
sun,2019-06-21 04:23:22,gather round and let me tell you a story it's about the Sun and how sometimes it makes the outside be hot and if yo… https://t.co/oFDIIjcBcq
sun,2019-06-21 04:23:24,RT @Shellanin: Joker help it’s too sunny outside!!💚 https://t.co/kURtOkeBE1
rain,2019-06-21 04:23:26,"I'm at The Flower Shop in New York, NY https://t.co/KgceXeUJgc"
rain,2019-06-21 04:23:28,"High winds will buffet the San Diego-area mountains and deserts Thursday evening and Friday, potentially causing dr… https://t.co/43DiAv6SmW"
sun,2019-06-21 04:23:30,RT @louvertay: — but you're untouchable
rain,2019-06-21 04:23:32,RT @thegoodgodabove: I sent a storm to rain on Trump supporters so they’d all cough on their xenophobic homophobic germophobic criminal cul…
sun,2019-06-21 04:23:34,RT @moonliIIies: 1. juliet o'hara (psych): lesbian
rain,2019-06-21 04:23:36,RT @SLAM_HS: Cincinnati native Darius Bazley goes 23rd to the Oklahoma City Thunder! ⛈ https://t.co/obeOID7eHU
rain,2019-06-21 04:23:38,"RT @ErikHorneOK: Darius Bazley is the second straight prep-to-pro prospect selected by the Thunder in the first round (Terrance Ferguson, 2…"
rain,2019-06-21 04:23:40,Flood Warning issued June 20 at 9:17PM CDT until further notice by NWS https://t.co/AlOFMgPSaa #stlwx
rain,2019-06-21 04:23:42,RT @miles_commodore: I'm a black male born to a young mother in Harlem NY during the 1970's. Planned Parenthood's mission was and is to flo…
